話数,月,企画タイトル,概要,目的・意図（何を伝えたいか）
24,4か月目｜店の中へ,「なんか変わったね」,初めて先輩ホステスから声をかけられる。,努力が周囲に認められる喜びと、成長の可視化を描く。
25,5か月目｜初めてのお客様,初めて席についた日,何を話せばいいか分からず、空回りする。,接客の難しさとリアルな失敗を描く。
26,5か月目｜初めてのお客様,自分の話ばかりしてしまった,会話を盛り上げようとして、相手を見ていなかったと気づく。,接客とは自分ではなく相手を見ることだと伝える。
27,5か月目｜初めてのお客様,沈黙が怖い,無理に話し続ける主人公に、藤澤さんは沈黙にも意味があると伝える。,間を恐れない余裕の価値を示す。
28,5か月目｜初めてのお客様,一流のお客様ほど静かだった,派手で威圧的という先入観が崩れる。,本物の品格は静けさにあると示す。
29,5か月目｜初めてのお客様,お酒を作るだけの仕事だと思ってました,席全体の空気、グラス、会話、他の女性を見る必要があると知る。,仕事の奥行き＝全体を見る力を伝える。
30,5か月目｜初めてのお客様,初めて「また会いたい」と言われた,話術ではなく、相手の疲れに気づけたことで評価される。,気配りが評価につながる──接客の核心を示す。
31,6か月目｜先輩ホステスの登場,藤澤さんが言っていた女性,主人公がエースホステスの接客を初めて見る。,目標となる存在を提示する。
32,6か月目｜先輩ホステスの登場,顔なら私も負けてないと思った,見た目だけで比較するが、席についた瞬間の空気の差を痛感する。,容姿と実力は別物だという気づきを与える。
33,6か月目｜先輩ホステスの登場,なぜ、あの人には全員が話したくなるの？,エースの聞き方や気配りを観察する。,一流の技術を分析的に描く。
34,6か月目｜先輩ホステスの登場,私もあの人みたいになりたい,素直に憧れを口にする。,憧れが成長の原動力になることを示す。
35,6か月目｜先輩ホステスの登場,真似をしても全然違う,言葉や仕草だけをコピーし、接客に失敗する。,表面的な模倣の限界を描く。
36,6か月目｜先輩ホステスの登場,その人になる必要はない,藤澤さんから、自分の素材を使う必要があると指摘される。,『自分らしさを生かす』という主題を再確認する。
37,7か月目｜少し売れ始める,初めての指名,主人公が小さな成功を手にする。,努力が結果に変わる喜びを描く。
38,7か月目｜少し売れ始める,初めて自分のお金でドレスを買った,稼ぐ喜びと、女性としての自立を感じる。,経済的自立の第一歩を描く。
39,7か月目｜少し売れ始める,お給料を全部美容に使いました,稼いだ分だけ使ってしまう未熟な金銭感覚を描く。,成功の裏の落とし穴＝お金の使い方を提起する。
40,7か月目｜少し売れ始める,最近、私かわいくないですか？,褒められることが増え、少し調子に乗る。,承認による慢心の芽を描く。
41,7か月目｜少し売れ始める,ヘルプなのに頑張る意味ありますか？,係とヘルプの協力関係を知る。,チームワークの価値を伝える。
42,7か月目｜少し売れ始める,お客様を取られたと思った,個人戦ではなく、店全体で関係を守る文化を学ぶ。,個人戦ではなく『店の文化＝信頼』であることを示す。
43,8か月目｜成功の錯覚,私、銀座で通用してますよね？,売上が伸び、自信を持ち始める。,成功による自己過信の始まりを描く。
44,8か月目｜成功の錯覚,ブランドバッグを持ったら扱いが変わった,外見や持ち物への承認に依存し始める。,外的承認への依存の危うさを描く。
45,8か月目｜成功の錯覚,お客様によって性格を変える,無邪気・知的・甘え上手など、相手に合わせて自分を演じる。,自己を見失う兆候を描く。
46,8か月目｜成功の錯覚,売れたら正解じゃないんですか？,売上を唯一の基準にし始める。,数字至上主義への疑問を提起する。
47,8か月目｜成功の錯覚,エースより私の方が若い,憧れが嫉妬や競争心に変化する。,成功が心を歪ませる過程を描く。
48,8か月目｜成功の錯覚,今のお前は、売れてるだけ,藤澤さんの言葉を、主人公は受け入れられない。,成長の壁＝節目。売上と本当の価値の違いを問う。
49,9か月目｜信用とお金,太いお客様ができた,大きな金額を使う顧客が主人公につく。,大きな成功と、それに伴う責任の入口を描く。
50,9か月目｜信用とお金,こんなに使ってくれるなら信用していい？,金額と人間的信用は別物だと知る。,お金≠人間的信用であることを伝える。
51,9か月目｜信用とお金,掛けって、お客様を信じることですよね？,売掛と係の責任を学ぶ。,売掛の仕組みと、そこに伴う責任を示す。
52,9か月目｜信用とお金,払える人と、払う人は違う,肩書や資産だけでは支払い意思を判断できないと知る。,支払い意思を見抜く目の大切さを伝える。
53,9か月目｜信用とお金,売上の裏には責任がある,大きな売上を喜ぶだけではいけないと理解する。,売上に伴う責任の自覚を促す。
54,9か月目｜信用とお金,藤澤さんに止められた夜,危険な判断をしようとし、藤澤さんに止められる。,黒服の『守る』役割と、危機回避の重要性を描く。
55,10か月目｜境界線と安全,アフターって断れないんですか？,仕事とプライベートの境界を学ぶ。,境界線を持つことの大切さを伝える。
56,10か月目｜境界線と安全,行かない方がいいお客様,誘いを断る判断基準を知る。,自分を守る判断力の必要性を示す。
57,10か月目｜境界線と安全,家の前まで送るよと言われた,自宅や生活圏を守る必要性を描く。,プライバシーと安全の確保を伝える。
58,10か月目｜境界線と安全,困ったとき、黒服に電話していいですか？,一人で抱え込まず、店へ相談できることを伝える。,安心して頼れる体制があることを示す。
59,10か月目｜境界線と安全,店を通さない方が稼げるよ,主人公が裏引きの誘惑を受ける。,目先の利益の誘惑とその危険を描く。
60,10か月目｜境界線と安全,ルールは女性を縛るためじゃない,店を通すことが信用と安全を守ることだと理解する。,ルールの意味＝女性を守る仕組みであると伝える。
61,11か月目｜崩れる成功,他のお客様と会わないで,太客の要求が強くなり、主人公の自由が狭くなる。,依存関係の危うさを描く。
62,11か月目｜崩れる成功,売上を失うのが怖くて断れない,自分を守るより、評価を優先してしまう。,恐れが判断を歪めることを描く。
63,11か月目｜崩れる成功,昔の写真を笑われた,垢抜ける前の自分を否定され、過去を恥じる。,過去の自分との向き合いを描く。
64,11か月目｜崩れる成功,私は作り物なんでしょうか,外見も接客も、誰かに選ばれるために作ったものだと感じる。,アイデンティティの危機を描く。
65,11か月目｜崩れる成功,売上がなくなった日,顧客が離れ、主人公の成功が崩れる。,成功の崩壊＝どん底を描く。
66,11か月目｜崩れる成功,売れていない私には価値がない？,藤澤さんは答えを教えず、主人公自身に考えさせる。,自分の価値を自ら問い直す転機を作る。
67,12か月目｜本当の垢抜け,無理に笑うのをやめました,すべての客に好かれようとするのをやめる。,『自分軸』の確立を描く。
68,12か月目｜本当の垢抜け,知らないと言えるようになった,恥を隠さず、学ぶ姿勢を持てるようになる。,素直さと、学び続ける姿勢の価値を示す。
69,12か月目｜本当の垢抜け,初めてお客様に断った,品を保ちながら、自分の境界線を示す。,品格ある自己主張の完成を描く。
70,12か月目｜本当の垢抜け,新人が見学に来た,かつての主人公と同じような未経験女性が店を訪れる。,物語の継承の始まりを描く。
71,12か月目｜本当の垢抜け,私でも働けますか？,新人の質問に一年前の自分を重ね、主人公は『今のままでは難しい。でも、ここで変わることはできるよ』と答える。,成長の証。第1話と対をなす円環構造で、変化を際立たせる。
72,12か月目｜本当の垢抜け,素材が魅力になった日,新人を店内へ案内する主人公に、藤澤さんが『最初に言ったよな。素材はあるって』『やっと、自分の魅力にできたな』と言う。主人公は静かに笑い、店の扉を開く。,物語の結実＝素材が魅力へ。視聴者に『一度、銀座ファーストを見に行ってみたい』と思わせる着地。
