話数,章｜月,企画タイトル,概要,目的・意図（何を伝えたいか）
14,第3章 銀座の仕事を知る｜3ヶ月目,自分の話ばかりしていました,接客は自分を見せることではなく、相手を見ることだと知る。,接客の核心＝相手を見ることだと伝える。
15,第3章 銀座の仕事を知る｜3ヶ月目,沈黙が怖くなくなった日,無理に話さない接客を覚える。,間を恐れない余裕の価値を示す。
16,第3章 銀座の仕事を知る｜3ヶ月目,一流のお客様ほど静かだった,怖い客ばかりという先入観が崩れる。,『危険そう』という不安を解消し、本物の品格は静けさにあると示す。
17,第3章 銀座の仕事を知る｜3ヶ月目,お酒を作るだけの仕事じゃない,席全体の空気、先輩、黒服との連携を学ぶ。,仕事の奥行きと、チームで働く安心感を伝える。
18,第3章 銀座の仕事を知る｜3ヶ月目,初めて「また会いたい」と言われた,元々持っていた観察力が、初めて仕事の武器になる。,自分の素材を生かす主題を接客で結実させる。全体の折り返しで最初の評価を得る。
19,第4章 売れ始めた女｜4ヶ月目,藤澤さんが言っていた女性,主人公がファーストのエースを初めて間近で見る。,エースを本格登場させ、目標となる存在を提示する。
20,第4章 売れ始めた女｜4ヶ月目,顔なら私も負けてないと思った,主人公は外見で比較するが、存在感の差を見せつけられる。,容姿と存在感は別物だと痛感させ、外見依存の限界を示す。
21,第4章 売れ始めた女｜4ヶ月目,真似をしても全然違う,言葉や仕草だけをコピーし、接客に失敗する。,表面的な模倣の限界を描き、自分らしさの必要性を再確認させる。
22,第4章 売れ始めた女｜4ヶ月目,初めての指名,自分らしい接客によって、小さな成功を得る。,努力が結果に変わる喜びを描く。全体の3分の2までに一度成功させる。
23,第4章 売れ始めた女｜4ヶ月目,最近、私かわいくないですか？,売上と周囲の反応が変わり、少しずつ調子に乗る。,承認と売上による慢心の芽を描く。
24,第4章 売れ始めた女｜4ヶ月目,今のお前は、売れてるだけ,藤澤さんに本質を突かれるが、主人公は理解できない。,売上と本当の価値の違いを突く節目。理解できない主人公で緊張を残す。
25,第5章 成功の代償｜5ヶ月目,太いお客様ができた,主人公の売上と生活が一気に華やかになる。,成功が一気に華やぐ場面で、次の崩壊への振り幅を作る。
26,第5章 成功の代償｜5ヶ月目,こんなに使ってくれるなら信用していい？,金額と信用を混同し始める。,お金≠人間的信用という危うさを描く。
27,第5章 成功の代償｜5ヶ月目,他のお客様と会わないで,顧客の独占欲が強くなり、主人公の自由が狭くなる。,依存関係の危うさを描く。
28,第5章 成功の代償｜5ヶ月目,売上を失うのが怖くて断れない,自分を守るより、評価を優先してしまう。,恐れが判断を歪め、自分を守れなくなる過程を描く。
29,第5章 成功の代償｜5ヶ月目,店を通さない方が稼げるよ,裏引きや危険な関係への誘惑を受ける。,目先の利益の誘惑と危険を描き、『守ってくれる仕組みが必要』という視聴者心理につなげる。
30,第5章 成功の代償｜5ヶ月目,私は魅力的になったんじゃなかった,売上や顧客を失い、「選ばれる技術」を魅力だと勘違いしていたことに気づく。,崩壊の底＝転換点。魅力と『選ばれる技術』を取り違えていた過ちに気づかせる。
31,第6章 本当の垢抜け｜6ヶ月目,売れていない私には価値がない？,主人公は、売上に依存していた自分と向き合う。,売上に価値を預けていた自分を問い直す、再生の入口を描く。
32,第6章 本当の垢抜け｜6ヶ月目,助けを求めることは負けじゃない,藤澤さんや先輩に、自分の失敗を正直に相談する。,頼ることの強さと、一人で抱えず店に相談できる仕組みを伝える。
33,第6章 本当の垢抜け｜6ヶ月目,初めてお客様に断った,相手の機嫌ではなく、自分の境界線を守る。,品格ある自己主張＝境界線を守る力の確立を描く。
34,第6章 本当の垢抜け｜6ヶ月目,断っても戻ってきてくれた,自立した態度が、長期的な信用につながると知る。,自立の報酬──媚びない態度こそが本当の信用を生むと示す。
35,第6章 本当の垢抜け｜6ヶ月目,新人が見学に来た,かつての主人公と同じ不安を持つ未経験女性が現れる。,物語の継承を始める。第1話と対をなし、主人公の変化を際立たせる。
36,第6章 本当の垢抜け｜6ヶ月目,素材が魅力になった日,新人から『私でも働けますか？』と聞かれ、主人公は『今のままでは難しい。でも、ここで変わることはできるよ』と答え、店内へ案内する。藤澤さんは『やっと、素材を自分の魅力にできたな』と言う。,物語の結実＝素材が魅力へ。視聴者に『一度、見学に行ってみたい』と思わせる着地。
